country,year,nuclear,total,nuclear_share,co2_per_capita
Sweden,2022,51944.0,173159.0,0.2999786323552342,3.4653375
Belgium,2023,32927.9,83663.0,0.393577806198678,7.2316356
Bulgaria,2023,16163.276,40255.508,0.401517129034864,5.076801
Czechia,2023,30410.464,77004.256,0.394919262644392,7.6997585
Denmark,2023,0.0,34068.992,0.0,4.8470974
Germany,2023,7216.0,522871.0,0.0138007271391987,7.022808
Estonia,2023,0.0,5745.043,0.0,6.3957644
Ireland,2023,0.0,31852.979,0.0,6.4595604
Greece,2023,0.0,49916.633,0.0,5.0755324
Spain,2023,56873.0,285880.753,0.198939590732084,4.4970493
France,2023,338202.283,524900.932,0.6443164078817066,4.067842
Croatia,2023,0.0,17541.3,0.0,4.740115
Italy,2023,0.0,264716.393,0.0,5.248631
Cyprus,2023,0.0,5329.087,0.0,5.3443794
Latvia,2023,0.0,6387.576,0.0,3.5007896
Lithuania,2023,0.0,5978.6,0.0,4.3822517
Luxembourg,2023,0.0,2545.42,0.0,10.2852545
Hungary,2023,15918.0,35545.822,0.4478163425226177,4.164973
Malta,2023,0.0,2344.307,0.0,3.317301
Netherlands,2023,3985.293,121640.675,0.0327628320050016,6.4676642
Austria,2023,0.0,74953.146,0.0,6.2328863
Poland,2023,0.0,167362.01,0.0,7.307086
Portugal,2023,0.0,49043.35,0.0,3.6068447
Romania,2023,11191.089,57982.667,0.1930074896347903,3.54976
Slovenia,2023,5603.006,15878.619,0.3528648177779188,5.6704106
Slovakia,2023,18333.0,29903.0,0.6130822994348393,5.5755577
Finland,2023,34308.0,81540.775,0.4207465528749267,5.6771917
Sweden,2023,48470.0,166093.0,0.2918244597905992,3.4789953
Belgium,2024,31254.6,77156.8,0.4050790079422682,7.2798314
Bulgaria,2024,15777.075,38535.175,0.4094200947575818,4.6793866
Czechia,2024,29696.397,73900.393,0.4018435598847221,7.043965
Denmark,2024,0.0,35317.578,0.0,4.746057
Germany,2024,0.0,514009.0,0.0,6.7688236
Estonia,2024,0.0,6367.833,0.0,6.105464
Ireland,2024,0.0,31492.654,0.0,6.3388243
Greece,2024,0.0,57924.399,0.0,5.310692
Spain,2024,54532.38,287914.758,0.1894046014827763,4.599015
France,2024,380451.093,570712.716,0.6666245246233483,3.969368
Croatia,2024,0.0,15360.4,0.0,4.764723
Italy,2024,0.0,271007.173,0.0,5.087886
Cyprus,2024,0.0,5763.191,0.0,5.373922
Latvia,2024,0.0,6321.62,0.0,3.4520962
Lithuania,2024,0.0,8091.9,0.0,4.386505
Luxembourg,2024,0.0,2742.34,0.0,10.459649
Hungary,2024,16017.0,37987.362,0.421640228663417,4.135669
Malta,2024,0.0,2185.877,0.0,3.2037206
Netherlands,2024,3573.592,123843.947,0.0288556048686012,6.29691
Austria,2024,0.0,82406.732,0.0,6.180112
Poland,2024,0.0,172383.701,0.0,7.0801096
Portugal,2024,0.0,51089.446,0.0,3.4089074
Romania,2024,10911.981,53376.025,0.2044359991213283,3.605104
Slovenia,2024,5835.725,16992.689,0.3434256344007709,6.0184274
Slovakia,2024,18232.0,30065.0,0.6064194245800765,5.282773
Finland,2024,32599.0,83152.987,0.3920364279878485,5.300579
Sweden,2024,50665.0,172366.999,0.2939367761458792,3.5916543
