country,year,nuclear,total,nuclear_share
Slovakia,2022,15920.0,26838.0,0.5931887622028467
Finland,2022,25336.0,72186.834,0.3509781298900018
Sweden,2022,51944.0,173159.0,0.2999786323552342
Belgium,2023,32927.9,83663.0,0.39357780619867805
Bulgaria,2023,16163.276,40255.508,0.401517129034864
Czechia,2023,30410.464,77004.256,0.39491926264439203
Denmark,2023,0.0,34068.992,0.0
Germany,2023,7216.0,522871.0,0.01380072713919877
Estonia,2023,0.0,5745.043,0.0
Ireland,2023,0.0,31852.979,0.0
Greece,2023,0.0,49916.633,0.0
Spain,2023,56873.0,285880.753,0.198939590732084
France,2023,338202.283,524900.932,0.6443164078817066
Croatia,2023,0.0,17541.3,0.0
Italy,2023,0.0,264716.393,0.0
Cyprus,2023,0.0,5329.087,0.0
Latvia,2023,0.0,6387.576,0.0
Lithuania,2023,0.0,5978.6,0.0
Luxembourg,2023,0.0,2545.42,0.0
Hungary,2023,15918.0,35545.822,0.4478163425226177
Malta,2023,0.0,2344.307,0.0
Netherlands,2023,3985.293,121640.675,0.032762832005001616
Austria,2023,0.0,74953.146,0.0
Poland,2023,0.0,167362.01,0.0
Portugal,2023,0.0,49043.35,0.0
Romania,2023,11191.089,57982.667,0.19300748963479034
Slovenia,2023,5603.006,15878.619,0.35286481777791884
Slovakia,2023,18333.0,29903.0,0.6130822994348393
Finland,2023,34308.0,81540.775,0.42074655287492674
Sweden,2023,48470.0,166093.0,0.29182445979059923
Belgium,2024,31254.6,77156.8,0.4050790079422682
Bulgaria,2024,15777.075,38535.175,0.40942009475758184
Czechia,2024,29696.397,73900.393,0.40184355988472215
Denmark,2024,0.0,35317.578,0.0
Germany,2024,0.0,514009.0,0.0
Estonia,2024,0.0,6367.833,0.0
Ireland,2024,0.0,31492.654,0.0
Greece,2024,0.0,57924.399,0.0
Spain,2024,54532.38,287914.758,0.18940460148277638
France,2024,380451.093,570712.716,0.6666245246233483
Croatia,2024,0.0,15360.4,0.0
Italy,2024,0.0,271007.173,0.0
Cyprus,2024,0.0,5763.191,0.0
Latvia,2024,0.0,6321.62,0.0
Lithuania,2024,0.0,8091.9,0.0
Luxembourg,2024,0.0,2742.34,0.0
Hungary,2024,16017.0,37987.362,0.42164022866341705
Malta,2024,0.0,2185.877,0.0
Netherlands,2024,3573.592,123843.947,0.028855604868601288
Austria,2024,0.0,82406.732,0.0
Poland,2024,0.0,172383.701,0.0
Portugal,2024,0.0,51089.446,0.0
Romania,2024,10911.981,53376.025,0.20443599912132834
Slovenia,2024,5835.725,16992.689,0.3434256344007709
Slovakia,2024,18232.0,30065.0,0.6064194245800765
Finland,2024,32599.0,83152.987,0.3920364279878485
Sweden,2024,50665.0,172366.999,0.29393677614587926
